"24100";"24-100";"51,41667";"21,96667"
"24101";"24-101";"51,49445";"22,07222"
"24103";"24-103";"51,5";"22,1"
"24105";"24-105";"51,56667";"22,15"
"24110";"24-110";"51,41667";"21,96667"
"24111";"24-111";"51,41667";"21,96667"
"24112";"24-112";"51,41667";"21,96667"
"24120";"24-120";"51,31667";"21,95"
"24123";"24-123";"51,33333";"21,88333"
"24130";"24-130";"51,4";"22,06667"
"24140";"24-140";"51,28876";"22,21521"
"24150";"24-150";"51,28876";"22,21521"
"24160";"24-160";"51,28333";"22,13333"
"24170";"24-170";"51,38334";"22,2"
"24173";"24-173";"51,36666";"22,26667"
"24200";"24-200";"51,18333";"22,28333"
"24204";"24-204";"51,23333";"22,25"
"24220";"24-220";"51,11666";"22,4"
"24224";"24-224";"51,1";"22,28333"
"24300";"24-300";"51,15";"21,96667"
"24310";"24-310";"51,26667";"21,88333"
"24313";"24-313";"51,26667";"21,88333"
"24320";"24-320";"51,18333";"22,13333"
"24333";"24-333";"51,08333";"21,93333"
"24335";"24-335";"51,15";"21,86667"
"24340";"24-340";"51,41667";"21,65"
"24350";"24-350";"51,11666";"22,13333"
"25001";"25-001";"50,83333";"20,66667"
"25002";"25-002";"50,83333";"20,66667"
"25003";"25-003";"50,83333";"20,66667"
"25004";"25-004";"50,83333";"20,66667"
"25005";"25-005";"50,83333";"20,66667"
"25006";"25-006";"50,83333";"20,66667"
"25007";"25-007";"50,83333";"20,66667"
"25008";"25-008";"50,83333";"20,66667"
"25009";"25-009";"50,83333";"20,66667"
"25010";"25-010";"50,83333";"20,66667"
"25011";"25-011";"50,83333";"20,66667"
"25012";"25-012";"50,83333";"20,66667"
"25013";"25-013";"50,83333";"20,66667"
"25014";"25-014";"50,83333";"20,66667"
"25015";"25-015";"50,83333";"20,66667"
"25016";"25-016";"50,83333";"20,66667"
"25017";"25-017";"50,83333";"20,66667"
"25018";"25-018";"50,83333";"20,66667"
"25019";"25-019";"50,83333";"20,66667"
"25020";"25-020";"50,83333";"20,66667"
"25021";"25-021";"50,83333";"20,66667"
"25022";"25-022";"50,83333";"20,66667"
"25023";"25-023";"50,83333";"20,66667"
"25024";"25-024";"50,83333";"20,66667"
"25025";"25-025";"50,83333";"20,66667"
"25026";"25-026";"50,83333";"20,66667"
"25027";"25-027";"50,83333";"20,66667"
"25028";"25-028";"50,83333";"20,66667"
"25029";"25-029";"50,83333";"20,66667"
"25030";"25-030";"50,83333";"20,66667"
"25031";"25-031";"50,83333";"20,66667"
"25032";"25-032";"50,83333";"20,66667"
"25033";"25-033";"50,83333";"20,66667"
"25034";"25-034";"50,83333";"20,66667"
"25035";"25-035";"50,83333";"20,66667"
"25036";"25-036";"50,83333";"20,66667"
"25037";"25-037";"50,83333";"20,66667"
"25038";"25-038";"50,83333";"20,66667"
"25039";"25-039";"50,83333";"20,66667"
"25040";"25-040";"50,83333";"20,66667"
"25041";"25-041";"50,83333";"20,66667"
"25042";"25-042";"50,83333";"20,66667"
"25043";"25-043";"50,83333";"20,66667"
"25044";"25-044";"50,83333";"20,66667"
"25045";"25-045";"50,83333";"20,66667"
"25046";"25-046";"50,83333";"20,66667"
"25047";"25-047";"50,83333";"20,66667"
"25093";"25-093";"50,83333";"20,66667"
"25101";"25-101";"50,83333";"20,66667"
"25102";"25-102";"50,83333";"20,66667"
"25103";"25-103";"50,83333";"20,66667"
"25104";"25-104";"50,83333";"20,66667"
"25105";"25-105";"50,83333";"20,66667"
"25106";"25-106";"50,83333";"20,66667"
"25107";"25-107";"50,83333";"20,66667"
"25108";"25-108";"50,83333";"20,66667"
"25109";"25-109";"50,83333";"20,66667"
"25110";"25-110";"50,83333";"20,66667"
"25111";"25-111";"50,83333";"20,66667"
"25112";"25-112";"50,83333";"20,66667"
"25113";"25-113";"50,83333";"20,66667"
"25114";"25-114";"50,83333";"20,66667"
"25115";"25-115";"50,83333";"20,66667"
"25116";"25-116";"50,83333";"20,66667"
"25117";"25-117";"50,83333";"20,66667"
"25118";"25-118";"50,83333";"20,66667"
"25119";"25-119";"50,83333";"20,66667"
"25120";"25-120";"50,83333";"20,66667"
"25121";"25-121";"50,83333";"20,66667"
"25122";"25-122";"50,83333";"20,66667"
"25123";"25-123";"50,83333";"20,66667"
"25124";"25-124";"50,83333";"20,66667"
"25125";"25-125";"50,83333";"20,66667"
"25127";"25-127";"50,83333";"20,66667"
"25128";"25-128";"50,83333";"20,66667"
"25129";"25-129";"50,83333";"20,66667"
"25130";"25-130";"50,83333";"20,66667"
"25131";"25-131";"50,83333";"20,66667"
"25132";"25-132";"50,83333";"20,66667"
"25133";"25-133";"50,83333";"20,66667"
"25134";"25-134";"50,83333";"20,66667"
"25135";"25-135";"50,83333";"20,66667"
"25136";"25-136";"50,83333";"20,66667"
"25137";"25-137";"50,83333";"20,66667"
"25138";"25-138";"50,83333";"20,66667"
"25139";"25-139";"50,83333";"20,66667"
"25140";"25-140";"50,83333";"20,66667"
"25141";"25-141";"50,83333";"20,66667"
"25142";"25-142";"50,83333";"20,66667"
